EAR,PUC,MAR,MOE,drowsy
0.26,84.8,0.32,1.3,0
0.29,95.8,0.19,1.16,0
0.35,84.3,0.31,0.95,0
0.3,87.7,0.31,0.95,0
0.33,90.8,0.33,1.35,0
0.32,75.3,0.33,1.43,0
0.31,88.5,0.25,1.09,0
0.3,96.2,0.26,0.89,0
0.34,90.1,0.31,0.95,0
0.25,92.6,0.22,0.77,0
0.31,85.1,0.28,1.25,0
0.3,75.1,0.31,1.08,0
0.31,85.1,0.18,1.41,0
0.3,97.8,0.3,0.63,0
0.33,77.9,0.33,1.44,0
0.26,87,0.27,1.03,0
0.32,79.1,0.31,0.74,0
0.34,95.1,0.18,1.18,0
0.27,83.6,0.2,0.88,0
0.27,86,0.23,0.7,0
0.29,90.5,0.25,0.66,0
0.26,83.5,0.27,0.95,0
0.33,93.7,0.23,0.76,0
0.35,90.9,0.35,1.19,0
0.27,78.7,0.19,0.8,0
0.34,93.5,0.27,0.91,0
0.28,84.6,0.19,1.24,0
0.32,85.6,0.33,0.67,0
0.33,77.5,0.35,0.67,0
0.25,83.2,0.32,0.75,0
0.26,88.6,0.2,1.32,0
0.25,95.1,0.27,0.6,0
0.25,90.8,0.3,1.34,0
0.29,87.6,0.33,1.28,0
0.3,76.7,0.28,1.29,0
0.26,83.5,0.35,0.91,0
0.31,75.8,0.22,0.71,0
0.3,97.1,0.35,0.79,0
0.31,81.1,0.29,1.26,0
0.33,96.9,0.31,0.79,0
0.29,93.9,0.2,1.22,0
0.36,86,0.27,1.48,0
0.27,76.4,0.22,0.75,0
0.35,92.5,0.25,1.37,0
0.32,77.2,0.21,1.02,0
0.26,87.1,0.29,1.44,0
0.26,91.9,0.31,1.27,0
0.29,96.7,0.24,1.07,0
0.25,87.4,0.29,0.89,0
0.27,93.5,0.33,1.39,0
0.31,82.7,0.25,1.23,0
0.29,83.3,0.19,1.48,0
0.32,83,0.19,1.09,0
0.36,81.6,0.32,1.4,0
0.32,82.2,0.25,1.48,0
0.28,82.9,0.22,1.16,0
0.32,89.4,0.3,0.72,0
0.36,95.6,0.28,1.26,0
0.34,91,0.18,0.74,0
0.27,80.1,0.21,1.26,0
0.29,82,0.35,0.68,0
0.31,77.8,0.21,1.21,0
0.28,90.5,0.28,1.2,0
0.29,88.4,0.26,0.63,0
0.27,81.6,0.18,0.99,0
0.26,85.2,0.19,1.48,0
0.26,81.5,0.31,0.95,0
0.33,79.3,0.21,0.89,0
0.33,87.1,0.31,1,0
0.35,96.5,0.23,0.69,0
0.26,90.9,0.21,0.6,0
0.32,78.1,0.18,1.43,0
0.26,93.2,0.19,1.25,0
0.28,78,0.26,0.92,0
0.27,76.1,0.31,0.82,0
0.31,93.2,0.28,1.14,0
0.29,82.4,0.19,1.41,0
0.3,93.4,0.26,1.22,0
0.35,89.4,0.21,0.86,0
0.35,78.8,0.32,1.34,0
0.36,85.7,0.33,0.94,0
0.27,78.2,0.27,0.84,0
0.27,83.1,0.33,0.65,0
0.35,91.9,0.33,1.42,0
0.27,93.7,0.2,0.93,0
0.3,83.3,0.23,1.23,0
0.31,97,0.34,0.64,0
0.27,95.5,0.19,1.09,0
0.28,91.3,0.32,0.96,0
0.27,95.3,0.19,0.73,0
0.24,95.8,0.27,0.75,0
0.26,95.4,0.25,0.67,0
0.35,83.5,0.24,1.29,0
0.34,83.6,0.18,1.4,0
0.3,75.9,0.32,1.03,0
0.32,81.2,0.19,1.3,0
0.32,79.4,0.24,1.49,0
0.25,93.2,0.2,1.12,0
0.36,94.1,0.25,0.88,0
0.29,82.8,0.28,1.16,0
0.35,77.4,0.28,1.14,0
0.35,76.4,0.23,1.46,0
0.33,75.5,0.2,1.46,0
0.3,78.3,0.25,1.13,0
0.26,87,0.35,1.47,0
0.36,94.8,0.33,1.11,0
0.25,76.1,0.3,0.89,0
0.35,81.9,0.34,1.02,0
0.3,79.3,0.22,0.63,0
0.32,93,0.23,1.46,0
0.24,76.1,0.26,0.85,0
0.26,79.8,0.28,0.81,0
0.3,90.8,0.34,0.65,0
0.26,79,0.24,0.71,0
0.32,91.3,0.29,1.05,0
0.34,84.5,0.23,1.08,0
0.27,92.3,0.28,0.75,0
0.36,84.9,0.19,1.37,0
0.33,87.6,0.24,1.45,0
0.31,87.7,0.21,0.63,0
0.28,81.9,0.34,1.44,0
0.24,84.6,0.31,0.61,0
0.34,80.6,0.29,0.89,0
0.34,84.4,0.31,0.66,0
0.31,79.6,0.18,0.66,0
0.34,78.4,0.19,0.87,0
0.3,79.2,0.27,1.3,0
0.36,93,0.21,1.44,0
0.28,78.9,0.29,0.7,0
0.31,78.8,0.27,1.34,0
0.34,81.1,0.29,1.03,0
0.35,86.9,0.2,1.27,0
0.34,80.7,0.35,0.94,0
0.34,91.5,0.27,1.33,0
0.29,93.7,0.24,1.14,0
0.34,80.6,0.32,1.18,0
0.25,76.4,0.3,1.05,0
0.3,82.8,0.29,1,0
0.29,88.5,0.33,1.45,0
0.28,98,0.2,1.44,0
0.34,84.4,0.32,1.29,0
0.35,78,0.22,1.12,0
0.36,83,0.33,1.18,0
0.31,93.8,0.2,0.74,0
0.26,97.4,0.26,0.95,0
0.29,75.4,0.24,0.97,0
0.27,90.3,0.25,0.8,0
0.3,85.2,0.2,1.4,0
0.3,90,0.22,0.94,0
0.29,89.4,0.22,0.86,0
0.25,83.4,0.3,1.06,0
0.36,76.4,0.29,0.76,0
0.33,97,0.31,1.5,0
0.3,93.6,0.25,0.96,0
0.25,87.6,0.33,1.33,0
0.32,77.3,0.32,1.23,0
0.24,79.8,0.23,0.95,0
0.33,95.3,0.23,1.21,0
0.24,95.3,0.2,0.85,0
0.29,95.6,0.27,0.75,0
0.35,90.7,0.33,0.63,0
0.34,93,0.3,0.99,0
0.27,90.2,0.26,1.32,0
0.27,86.7,0.32,1.35,0
0.25,88.7,0.33,0.75,0
0.33,78.5,0.22,1.25,0
0.25,91.3,0.2,0.65,0
0.3,83.6,0.28,1.18,0
0.29,84.1,0.29,0.66,0
0.25,94.5,0.29,0.89,0
0.36,96,0.22,0.71,0
0.34,87.2,0.31,0.88,0
0.34,91.6,0.2,1.06,0
0.33,87.7,0.27,1.12,0
0.26,89.3,0.24,1.15,0
0.29,97.2,0.22,1.15,0
0.27,90.2,0.19,0.83,0
0.3,96.1,0.27,1.36,0
0.33,75.8,0.23,0.73,0
0.32,76.3,0.23,1.38,0
0.32,75.2,0.27,1.09,0
0.26,78.5,0.35,1.27,0
0.29,79.5,0.21,1.48,0
0.33,91.4,0.19,1.08,0
0.25,93,0.3,1.29,0
0.3,92.2,0.24,1.39,0
0.27,95.9,0.2,0.88,0
0.3,92.5,0.21,1.34,0
0.33,91.8,0.24,0.68,0
0.28,90.4,0.31,0.95,0
0.32,89.6,0.2,1.32,0
0.32,82.9,0.19,0.9,0
0.32,79.4,0.27,1.09,0
0.35,84.8,0.34,1.3,0
0.29,98,0.33,1.12,0
0.33,86,0.29,0.95,0
0.34,86.2,0.33,0.65,0
0.26,84.1,0.29,1.4,0
0.35,82.5,0.2,1.3,0
0.3,94.3,0.22,1.33,0
0.3,76.1,0.24,0.67,0
0.29,90.8,0.22,1.24,0
0.34,97,0.26,1.36,0
0.25,94.5,0.24,1.06,0
0.33,95.5,0.2,0.67,0
0.35,84.3,0.33,1.13,0
0.25,94.3,0.24,1.47,0
0.26,88.8,0.34,0.87,0
0.24,79.2,0.2,1.14,0
0.34,84.1,0.25,1,0
0.32,95.6,0.35,1.2,0
0.28,92.9,0.34,1.31,0
0.26,82.1,0.34,0.94,0
0.26,79.1,0.29,1.48,0
0.3,79.3,0.31,0.9,0
0.26,91.3,0.35,1.14,0
0.28,90.5,0.3,1.18,0
0.26,96.4,0.23,1.43,0
0.28,89.5,0.22,0.88,0
0.34,95.2,0.23,0.68,0
0.25,87.3,0.3,1.27,0
0.28,81.3,0.27,1.38,0
0.3,87.1,0.32,1.31,0
0.29,97.9,0.23,1.13,0
0.3,97.1,0.27,0.86,0
0.28,77.5,0.26,0.7,0
0.27,96.8,0.2,0.75,0
0.26,83.2,0.21,0.97,0
0.35,97.7,0.27,1.01,0
0.35,83.6,0.27,0.72,0
0.35,76.1,0.28,0.94,0
0.28,88.3,0.21,0.91,0
0.26,78.3,0.28,0.88,0
0.33,85.8,0.25,0.65,0
0.28,76.9,0.31,1.23,0
0.26,82.3,0.25,0.91,0
0.3,82.6,0.33,1.11,0
0.34,79.4,0.19,1.38,0
0.25,77.8,0.26,1.41,0
0.3,87.2,0.18,0.96,0
0.27,90.4,0.28,1.48,0
0.3,92.4,0.22,0.7,0
0.29,90,0.31,0.73,0
0.29,82,0.21,1.06,0
0.36,92.8,0.23,1.37,0
0.32,95.3,0.21,0.65,0
0.24,89.5,0.31,1.26,0
0.3,91.4,0.18,1.09,0
0.32,82.7,0.21,0.88,0
0.36,92.2,0.31,1.26,0
0.33,90.2,0.27,1.2,0
0.27,76.9,0.19,1.46,0
0.35,87.7,0.26,1.41,0
0.32,94.8,0.3,1.05,0
0.33,78,0.19,1.38,0
0.27,84.4,0.18,1.41,0
0.28,83.3,0.25,0.93,0
0.27,82.5,0.27,1.17,0
0.27,85.1,0.2,1.26,0
0.27,82.7,0.34,0.69,0
0.27,89.3,0.33,1.38,0
0.3,97.9,0.35,1.23,0
0.26,94.9,0.29,0.83,0
0.26,90.5,0.25,0.92,0
0.35,95.2,0.32,1.34,0
0.36,91.3,0.33,1.25,0
0.28,87.5,0.3,1.27,0
0.28,94.7,0.19,1.18,0
0.3,92.7,0.29,0.83,0
0.26,92,0.25,0.76,0
0.28,94.3,0.27,1.12,0
0.31,91.3,0.26,0.77,0
0.3,88.2,0.3,0.69,0
0.28,77.2,0.18,1.02,0
0.31,96.7,0.29,0.83,0
0.35,78.3,0.34,1.22,0
0.29,86.5,0.34,1.46,0
0.31,90.8,0.28,1.03,0
0.33,87.3,0.2,0.73,0
0.27,80,0.29,1.36,0
0.35,78.6,0.31,0.84,0
0.25,91.5,0.27,0.74,0
0.28,85.8,0.24,1.28,0
0.36,83.4,0.24,0.91,0
0.36,77.3,0.31,1.21,0
0.34,86.8,0.32,0.99,0
0.34,94.2,0.31,0.94,0
0.25,77.2,0.26,0.61,0
0.24,87.4,0.27,1.02,0
0.24,88.1,0.22,1.21,0
0.33,89.6,0.25,1.15,0
0.31,76.5,0.25,0.98,0
0.34,87.1,0.25,1.47,0
0.26,90.3,0.35,0.76,0
0.35,86.7,0.23,1.36,0
0.33,93.4,0.19,0.85,0
0.31,96,0.28,1.24,0
0.27,75.5,0.32,0.91,0
0.3,79.8,0.24,0.66,0
0.24,83,0.22,1.06,0
0.29,96.3,0.28,1.41,0
0.24,85.7,0.28,0.88,0
0.3,80.8,0.28,1.4,0
0.28,90,0.32,1.14,0
0.32,82.5,0.23,1.24,0
0.3,94.7,0.28,1.18,0
0.31,85.1,0.31,0.62,0
0.28,77.8,0.32,0.98,0
0.3,85.8,0.33,1.26,0
0.33,92.9,0.34,1.49,0
0.33,91,0.3,0.95,0
0.27,80.2,0.19,1.43,0
0.3,91.2,0.32,1.49,0
0.27,81,0.27,0.94,0
0.31,94.3,0.32,0.6,0
0.35,83.7,0.22,1.07,0
0.32,78.8,0.29,1.25,0
0.32,97.7,0.26,0.87,0
0.29,81.1,0.31,1.24,0
0.32,75.7,0.24,1.29,0
0.3,97,0.31,0.98,0
0.32,85.2,0.3,0.71,0
0.32,95.5,0.33,1.47,0
0.35,86.2,0.3,1.23,0
0.27,82.3,0.25,1.3,0
0.27,79.8,0.33,0.74,0
0.31,90.2,0.35,1.4,0
0.35,95.9,0.26,0.91,0
0.34,75.6,0.22,0.85,0
0.32,93.3,0.23,0.91,0
0.33,93.7,0.3,1.18,0
0.35,83.9,0.32,1.32,0
0.27,90.8,0.3,1.32,0
0.35,75.3,0.29,0.84,0
0.34,92.1,0.28,1.01,0
0.33,85,0.28,0.64,0
0.3,85.9,0.34,0.64,0
0.25,92.2,0.29,0.74,0
0.33,77.4,0.26,1.48,0
0.29,83.3,0.2,1.29,0
0.35,86.2,0.24,1.17,0
0.35,75.2,0.21,1.44,0
0.29,80.9,0.31,1.35,0
0.25,87.4,0.2,1.01,0
0.31,92.7,0.22,0.72,0
0.26,85.5,0.29,0.7,0
0.3,95.8,0.25,1.23,0
0.35,95.4,0.32,0.84,0
0.27,78.8,0.31,1.05,0
0.29,90.4,0.22,1.21,0
0.27,88,0.22,1.26,0
0.29,77.7,0.32,1.03,0
0.26,76.1,0.3,1.46,0
0.33,83.3,0.25,1.21,0
0.32,76.1,0.21,1.29,0
0.27,97.7,0.29,1.33,0
0.34,85.5,0.29,1.28,0
0.35,97.5,0.33,0.86,0
0.27,87.2,0.24,1.04,0
0.34,80.5,0.25,0.9,0
0.26,90.8,0.28,0.94,0
0.35,97,0.31,0.78,0
0.35,83.7,0.23,0.79,0
0.32,94.3,0.24,0.83,0
0.29,84.6,0.34,1.45,0
0.29,95.8,0.32,0.76,0
0.25,97.5,0.33,1.23,0
0.28,81.3,0.23,0.87,0
0.24,87.3,0.2,1.44,0
0.26,85.4,0.24,1.2,0
0.26,85,0.2,0.89,0
0.26,94.9,0.24,0.86,0
0.27,79.5,0.29,0.61,0
0.3,98,0.34,1.34,0
0.34,95.1,0.34,1.37,0
0.24,83,0.22,1.05,0
0.27,77.4,0.21,1.15,0
0.29,88.8,0.28,1.27,0
0.35,82.4,0.32,1.01,0
0.33,94.2,0.27,0.85,0
0.3,83.7,0.22,1.1,0
0.36,85.5,0.33,1.33,0
0.31,95.2,0.22,0.65,0
0.31,80.2,0.24,1.04,0
0.32,93.8,0.26,1.28,0
0.32,95.9,0.27,0.62,0
0.29,82.8,0.32,1.5,0
0.32,81.4,0.32,1.14,0
0.32,91.9,0.31,1.47,0
0.34,85.8,0.34,1.23,0
0.3,89.1,0.28,1.34,0
0.3,88,0.2,0.78,0
0.27,85,0.27,1.17,0
0.25,92.5,0.3,1.35,0
0.26,85.2,0.33,1.47,0
0.28,93.7,0.27,1.19,0
0.26,81.2,0.21,0.87,0
0.33,86.7,0.21,1.26,0
0.32,83.8,0.22,0.96,0
0.32,89.8,0.31,1.06,0
0.24,96.8,0.21,0.63,0
0.31,75.2,0.34,1.13,0
0.26,76,0.26,1.11,0
0.25,75.9,0.18,1,0
0.35,96.9,0.23,0.88,0
0.36,86.3,0.23,1.48,0
0.35,98,0.18,1.39,0
0.27,95.1,0.32,0.9,0
0.3,79.7,0.19,1.15,0
0.27,95.3,0.28,0.74,0
0.27,96.1,0.21,0.83,0
0.36,81.1,0.24,0.75,0
0.32,94.7,0.19,0.64,0
0.31,94,0.18,1.02,0
0.27,82.8,0.23,1.41,0
0.35,82.1,0.2,0.71,0
0.28,83.4,0.22,0.64,0
0.29,87.6,0.29,1.37,0
0.33,93.8,0.34,1.03,0
0.24,79.7,0.18,0.92,0
0.32,78.1,0.2,1.3,0
0.28,97.3,0.22,0.62,0
0.31,92,0.2,1.03,0
0.35,94.6,0.33,0.95,0
0.26,92.1,0.25,1.12,0
0.35,76.6,0.23,1.18,0
0.29,82,0.29,1.49,0
0.3,78.1,0.24,0.67,0
0.26,88.6,0.22,1.02,0
0.34,78.3,0.32,1.2,0
0.27,97.8,0.22,0.77,0
0.24,76.4,0.32,0.77,0
0.33,82.9,0.18,0.79,0
0.3,75.4,0.31,1.02,0
0.25,85.1,0.33,1.24,0
0.25,94.3,0.27,1.38,0
0.26,84,0.23,1.41,0
0.35,80.4,0.22,1.2,0
0.3,96.3,0.29,0.95,0
0.29,96,0.24,1.34,0
0.35,79.5,0.18,0.93,0
0.36,91.4,0.27,1.4,0
0.33,84.5,0.21,0.9,0
0.35,94.6,0.24,1.06,0
0.25,90.7,0.35,0.79,0
0.34,90.6,0.21,0.71,0
0.26,78.5,0.34,1,0
0.28,94.7,0.21,0.62,0
0.32,89.9,0.3,0.97,0
0.33,78.1,0.28,1.42,0
0.28,96.5,0.18,1.26,0
0.29,82.5,0.21,0.76,0
0.34,78.1,0.34,1,0
0.33,82,0.2,0.77,0
0.3,77.9,0.26,1.04,0
0.33,93.2,0.27,1.01,0
0.28,76.7,0.31,1.43,0
0.33,83,0.25,1.34,0
0.33,76.4,0.27,0.9,0
0.29,93,0.34,1.33,0
0.32,95.7,0.34,0.95,0
0.27,75.1,0.25,1.44,0
0.25,91.1,0.31,1.16,0
0.32,87.6,0.21,1.29,0
0.31,82.8,0.24,0.81,0
0.29,92.2,0.24,0.62,0
0.27,85.2,0.22,1.03,0
0.25,93.7,0.28,1.16,0
0.35,90.9,0.26,1.12,0
0.27,84.6,0.24,1.48,0
0.3,87.9,0.24,0.78,0
0.29,97.8,0.25,1.02,0
0.35,95.3,0.22,0.96,0
0.35,76.1,0.2,0.7,0
0.31,87.4,0.24,1.42,0
0.34,89.8,0.25,0.93,0
0.28,90.1,0.19,1.48,0
0.28,91.4,0.33,1.13,0
0.26,78.5,0.19,0.67,0
0.26,91.4,0.27,1.02,0
0.25,94.1,0.18,1.23,0
0.26,93.7,0.2,1.23,0
0.36,81,0.23,1.14,0
0.32,91.5,0.27,0.63,0
0.28,87.1,0.24,1.28,0
0.24,90.7,0.33,1.1,0
0.36,83.4,0.18,1.02,0
0.33,87.9,0.3,1.5,0
0.25,80.1,0.24,0.67,0
0.35,89.6,0.32,1.25,0
0.27,94.9,0.19,1.29,0
0.32,91,0.28,1.21,0
0.33,76.9,0.28,1.25,0
0.31,91.4,0.33,0.65,0
0.26,80,0.3,0.65,0
0.27,75.1,0.24,0.84,0
0.29,92.6,0.34,1.2,0
0.29,81.3,0.25,0.85,0
0.33,75.3,0.22,1.2,0
0.31,75.5,0.34,1.44,0
0.34,95.7,0.33,1.19,0
0.24,83.3,0.25,1.19,0
0.25,93.5,0.23,0.72,0
0.32,89.6,0.29,0.66,0
0.24,96.6,0.19,0.86,0
0.36,92.4,0.24,1.48,0
0.31,76.6,0.23,0.79,0
0.33,83.9,0.26,1.29,0
0.25,96.2,0.2,0.61,0
0.28,91.3,0.18,1.1,0
0.26,88.9,0.24,0.75,0
0.26,93,0.22,1,0
0.26,92.3,0.26,0.86,0
0.27,91.4,0.32,0.87,0
0.28,96,0.23,1.09,0
0.3,86.5,0.35,1.11,0
0.28,95.3,0.19,0.83,0
0.28,75.3,0.29,0.64,0
0.27,86.9,0.22,0.68,0
0.27,80.8,0.28,0.72,0
0.25,88.4,0.31,1.43,0
0.29,94.7,0.2,0.72,0
0.3,78.1,0.3,0.67,0
0.26,83.1,0.24,1.2,0
0.26,90.3,0.34,1.39,0
0.29,94.3,0.29,0.61,0
0.33,85.2,0.19,1.07,0
0.26,83,0.28,1.18,0
0.29,96.5,0.29,0.93,0
0.3,84.7,0.21,1.5,0
0.33,81.7,0.34,1.29,0
0.36,91.7,0.18,1.11,0
0.31,77.1,0.26,0.85,0
0.28,88.3,0.19,0.63,0
0.32,91.8,0.27,1.36,0
0.32,89.3,0.28,1.14,0
0.27,88.2,0.32,1.02,0
0.31,93.3,0.25,1.1,0
0.29,86.6,0.26,0.68,0
0.24,81,0.22,1.23,0
0.33,91.8,0.29,1.4,0
0.35,86.6,0.29,1.26,0
0.35,85.9,0.33,1.28,0
0.33,92.9,0.32,1.44,0
0.28,95.8,0.29,0.91,0
0.32,83.3,0.25,1.4,0
0.29,95.3,0.34,1.46,0
0.32,76.7,0.28,1.34,0
0.33,87.6,0.29,1.37,0
0.25,88.6,0.29,0.97,0
0.3,87.5,0.3,1.38,0
0.36,77.6,0.32,0.74,0
0.26,81.2,0.23,1.09,0
0.32,82.3,0.21,1.16,0
0.35,87.2,0.31,0.79,0
0.3,96.2,0.33,1.38,0
0.34,81.5,0.31,1.48,0
0.29,79.7,0.3,1.37,0
0.35,94.1,0.31,0.78,0
0.33,80.4,0.28,1.4,0
0.34,95.1,0.3,0.62,0
0.35,87.6,0.28,1.1,0
0.26,80.8,0.31,1.44,0
0.26,91.2,0.3,0.79,0
0.34,89.6,0.19,1.21,0
0.28,75.1,0.23,1.3,0
0.29,94,0.24,0.62,0
0.33,97.4,0.2,1.09,0
0.3,78.2,0.29,1.38,0
0.3,96.5,0.19,1.17,0
0.27,98,0.31,1.25,0
0.33,97.9,0.32,1.21,0
0.26,80.6,0.31,0.83,0
0.33,82.3,0.21,0.84,0
0.36,96.8,0.18,1.36,0
0.25,82.5,0.31,0.77,0
0.35,96.8,0.26,0.82,0
0.27,86.6,0.21,0.8,0
0.32,89,0.34,1.4,0
0.34,79.7,0.19,1.12,0
0.33,89.8,0.34,0.9,0
0.35,88.1,0.32,0.66,0
0.29,86.5,0.27,1.37,0
0.29,95.5,0.33,0.7,0
0.28,91.5,0.27,1.2,0
0.31,75.8,0.26,0.74,0
0.25,82.2,0.26,1.24,0
0.35,75.5,0.32,1.28,0
0.33,91.2,0.29,0.69,0
0.29,92.4,0.26,1.45,0
0.25,81.9,0.28,1.32,0
0.26,76.1,0.34,0.82,0
0.36,78.3,0.21,0.95,0
0.32,86.6,0.26,0.65,0
0.29,89.1,0.35,1.13,0
0.34,76.8,0.18,1.02,0
0.27,78.9,0.19,1.31,0
0.35,77.6,0.31,1.46,0
0.25,97.4,0.25,1.41,0
0.29,75.2,0.23,0.72,0
0.34,81.2,0.3,1.1,0
0.25,92,0.35,1.43,0
0.33,82.8,0.19,1.46,0
0.25,83.9,0.2,0.84,0
0.36,92.9,0.23,0.82,0
0.34,80.6,0.27,0.86,0
0.29,86.1,0.27,1.34,0
0.26,85.6,0.28,1.18,0
0.32,95.1,0.32,1.35,0
0.36,80.1,0.25,0.97,0
0.24,92.8,0.35,0.64,0
0.27,89.6,0.25,0.61,0
0.25,86.7,0.21,1.49,0
0.34,78.7,0.3,1.07,0
0.34,94.6,0.24,1.14,0
0.29,94.2,0.24,1.42,0
0.35,77.5,0.29,1.48,0
0.31,92.9,0.19,0.84,0
0.24,81.3,0.34,1.29,0
0.34,82.9,0.28,1.39,0
0.29,75.6,0.29,1.12,0
0.3,80.3,0.28,0.66,0
0.33,95.9,0.28,1.33,0
0.25,83.4,0.23,1.48,0
0.34,76,0.18,1.35,0
0.25,83.9,0.24,1.23,0
0.36,91.6,0.34,1.13,0
0.24,91.2,0.31,0.82,0
0.27,91.5,0.22,0.68,0
0.36,81.8,0.24,0.98,0
0.28,87.1,0.33,1.11,0
0.29,85.2,0.18,1.36,0
0.29,82.4,0.26,0.99,0
0.31,79.1,0.33,0.75,0
0.27,83.7,0.26,1.46,0
0.24,97.1,0.34,1.21,0
0.32,96.1,0.33,0.76,0
0.28,91.6,0.28,1,0
0.25,90.9,0.26,0.88,0
0.33,97.4,0.31,0.72,0
0.27,90.5,0.26,1.13,0
0.29,97.2,0.33,1.38,0
0.34,87.8,0.2,1.08,0
0.25,86.5,0.28,1.21,0
0.34,89.5,0.19,1.13,0
0.35,90.7,0.31,1.37,0
0.25,84.7,0.29,1.49,0
0.29,77.9,0.24,1.21,0
0.29,89.4,0.31,1.04,0
0.31,80.2,0.18,1.24,0
0.34,87.2,0.26,1.45,0
0.25,83.6,0.19,0.82,0
0.34,80.5,0.29,0.82,0
0.31,96.4,0.2,0.89,0
0.28,80.2,0.22,1.28,0
0.33,77.9,0.31,0.61,0
0.35,80.1,0.19,1.46,0
0.32,77.8,0.21,0.86,0
0.27,79.5,0.23,1.32,0
0.25,79.9,0.35,1.39,0
0.35,95.5,0.24,0.88,0
0.33,75.3,0.35,0.76,0
0.33,88.3,0.28,1.24,0
0.25,96.8,0.22,0.8,0
0.29,94.8,0.18,1.22,0
0.34,96.4,0.23,1.09,0
0.32,92.7,0.33,0.82,0
0.27,88.7,0.34,0.62,0
0.34,82.4,0.32,1.26,0
0.32,87.7,0.35,0.96,0
0.26,89.1,0.29,1.11,0
0.35,81.9,0.2,1.2,0
0.29,79.4,0.33,0.91,0
0.3,84.2,0.28,1.49,0
0.29,87,0.25,0.85,0
0.34,91.9,0.29,1.06,0
0.27,80.7,0.27,1.4,0
0.3,84.7,0.26,1.47,0
0.26,84.3,0.19,1.26,0
0.27,77.6,0.25,1.25,0
0.27,92.2,0.27,0.62,0
0.33,90.4,0.34,1.14,0
0.29,89,0.32,1.22,0
0.26,88.1,0.28,0.8,0
0.28,78.4,0.3,1.02,0
0.35,89.4,0.28,0.67,0
0.31,90.7,0.2,1.38,0
0.26,76.1,0.25,1.24,0
0.32,92.2,0.26,0.94,0
0.32,95.2,0.29,1.24,0
0.25,86,0.35,0.7,0
0.27,97.8,0.25,1.23,0
0.33,92.7,0.26,1.08,0
0.31,86.8,0.35,0.7,0
0.25,76.5,0.2,0.82,0
0.35,91.1,0.26,0.83,0
0.33,83.7,0.24,1.31,0
0.24,97.2,0.22,1.06,0
0.25,82.6,0.27,1.48,0
0.31,81.7,0.19,1.17,0
0.29,75.1,0.22,0.67,0
0.3,85.8,0.2,0.83,0
0.26,88.6,0.22,1.04,0
0.28,86.4,0.32,0.63,0
0.27,82.7,0.27,0.92,0
0.33,97.5,0.24,0.9,0
0.32,84,0.26,0.79,0
0.36,85.3,0.29,1.17,0
0.34,77.8,0.27,0.95,0
0.34,75.2,0.3,0.64,0
0.31,88.7,0.33,1.47,0
0.34,93.4,0.26,0.98,0
0.35,92.6,0.27,1.03,0
0.28,81.4,0.3,1.39,0
0.29,78.6,0.23,0.68,0
0.33,91.7,0.35,1.36,0
0.34,85.6,0.23,1.07,0
0.34,75.6,0.18,0.72,0
0.35,79.2,0.21,1.16,0
0.32,88.9,0.21,1.45,0
0.24,76.2,0.23,0.87,0
0.32,78.1,0.35,0.78,0
0.32,75.1,0.21,1.18,0
0.29,89.1,0.32,0.65,0
0.32,97.7,0.25,1.02,0
0.25,86.7,0.24,0.77,0
0.35,76.9,0.33,0.93,0
0.26,88.4,0.3,1.46,0
0.33,80.1,0.27,1.41,0
0.32,76.4,0.22,1.42,0
0.25,85.9,0.2,1.39,0
0.35,90.1,0.19,0.74,0
0.34,97,0.22,0.86,0
0.26,92.3,0.33,1.06,0
0.36,90.3,0.34,0.68,0
0.28,86.6,0.32,1.16,0
0.33,82.8,0.31,1.47,0
0.32,80.2,0.25,0.65,0
0.27,92,0.2,0.87,0
0.28,79.3,0.2,0.73,0
0.28,84.1,0.26,0.79,0
0.3,78.4,0.25,1.07,0
0.26,89.5,0.21,1.16,0
0.34,87.2,0.35,0.72,0
0.34,91,0.26,0.89,0
0.33,87.5,0.29,1.44,0
0.28,89.1,0.31,1.42,0
0.34,86.5,0.28,1.32,0
0.36,76.8,0.25,1.34,0
0.27,86.2,0.24,0.73,0
0.32,91.8,0.26,0.71,0
0.29,92.2,0.19,1.24,0
0.33,92.7,0.24,0.78,0
0.31,79.8,0.31,1.09,0
0.29,84.9,0.33,0.95,0
0.29,88.1,0.32,1.36,0
0.32,87.2,0.21,0.6,0
0.32,82.9,0.3,1.15,0
0.25,91.2,0.27,1.3,0
0.33,79,0.23,0.6,0
0.36,83.7,0.24,1.35,0
0.36,89.1,0.25,0.73,0
0.29,94.6,0.32,1.15,0
0.31,84.4,0.35,0.82,0
0.33,92,0.24,1.31,0
0.3,93.9,0.34,0.79,0
0.26,90,0.2,0.65,0
0.26,92.3,0.24,1.06,0
0.25,93.4,0.31,1.36,0
0.25,75.8,0.34,1.28,0
0.24,86.1,0.33,0.8,0
0.28,81.4,0.2,0.63,0
0.25,87.9,0.34,0.87,0
0.32,95.3,0.19,1.35,0
0.29,82.2,0.35,0.78,0
0.31,87.2,0.34,1.25,0
0.33,83.9,0.29,0.65,0
0.36,84.1,0.22,1.44,0
0.29,93.1,0.21,0.68,0
0.28,87.6,0.31,0.86,0
0.31,96.8,0.21,1.28,0
0.28,94.9,0.34,0.64,0
0.27,91.2,0.35,1.11,0
0.34,85.7,0.29,1.32,0
0.34,79.3,0.28,1.23,0
